Input,Output
Nữ,Giải trí
Nữ,Mô phỏng
Nữ,Âm nhạc
Nữ,Giải đố
Nữ,Thời trang
Nữ,Nấu ăn
Nam,Hành động
Nam,Nhập vai
Nam,Chiến thuật
Nam,Kinh dị
Nam,Mô phỏng
Nam,Phiêu lưu
Nam,Thể thao
Nam,Giải đố
Nam,Đối kháng
Nam,Đua xe
Nam,Giải trí
Nam,Bắn súng
Công nghệ,Chiến thuật
Công nghệ,Bắn súng
Công nghệ,Mô phỏng
Thể thao,Thể thao
Du lịch,Phiêu lưu
Âm nhạc,Âm nhạc
Mạo hiểm,Hành động
Mạo hiểm,Kinh dị
Mạo hiểm,Phiêu lưu
Mạo hiểm,Đua xe
Mạo hiểm,Bắn súng
Nghệ thuật,Nhập vai
Nghệ thuật,Mô phỏng
Nghệ thuật,Âm nhạc
Nghệ thuật,Thời trang
Giao tiếp,Đồng đội nhiều người
Nấu ăn,Nấu ăn
Mua sắm,Thời trang
Học sinh - sinh viên,Miễn phí
Người đi làm,Mất phí
Giải trí,Giải trí
Giải trí,Nhập vai
Giải trí,Mô phỏng
Giải trí,Phiêu lưu
Giải trí,Thể thao
Giải trí,Giải đố
Giải trí,Âm nhạc
Giải trí,Thời trang
Giải trí,Nấu ăn
Kết bạn,Đồng đội nhiều người
Học tập,Giải đố
Học tập,Nấu ăn
Tăng kỹ năng,Phiêu lưu
Tăng kỹ năng,Giải đố
